GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.RuleActionContext,34,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ExcludeElementListContext,42,0,4,0,11,0,10,0,8,0
SQLDomainGen,com.sqldomaingen.parser,ColumnDefinition,75,692,41,45,17,116,44,37,3,35
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.GeneratedColumnContext,23,21,2,2,5,6,7,3,5,3
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser,7755,3854,422,93,2123,487,348,52,56,25
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CollateClauseContext,28,0,4,0,8,0,7,0,5,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.PartitionValuesClauseContext,74,0,4,0,18,0,17,0,15,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.SqlActionContext,76,0,4,0,18,0,17,0,15,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ColumnDefContext,79,33,2,2,16,8,18,5,16,5
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CreateIndexStatementContext,84,0,4,0,19,0,18,0,16,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CreatePartitionStatementContext,54,0,4,0,13,0,12,0,10,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ComparisonOperatorContext,18,5,4,0,5,2,5,1,3,1
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ExpressionContext,34,21,2,2,7,6,9,3,7,3
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.BooleanLiteralContext,23,0,4,0,7,0,6,0,4,0
