GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ReferentialActionContext,23,0,4,0,7,0,6,0,4,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.RuleActionContext,34,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ExcludeElementListContext,42,0,4,0,11,0,10,0,8,0
SQLDomainGen,com.sqldomaingen.parser,ColumnDefinition,90,654,10,32,10,103,13,53,3,42
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.GeneratedColumnContext,44,0,4,0,11,0,10,0,8,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser,8522,3381,463,74,2290,362,369,45,63,20
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CollateClauseContext,28,0,4,0,8,0,7,0,5,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.PartitionValuesClauseContext,74,0,4,0,18,0,17,0,15,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.SqlActionContext,76,0,4,0,18,0,17,0,15,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ColumnDefContext,83,29,2,2,16,8,18,5,16,5
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CreateIndexStatementContext,84,0,4,0,19,0,18,0,16,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CreatePartitionStatementContext,54,0,4,0,13,0,12,0,10,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ComparisonOperatorContext,0,23,2,2,0,7,2,4,0,4
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ExpressionContext,55,0,4,0,13,0,12,0,10,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.BooleanLiteralContext,23,0,4,0,7,0,6,0,4,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.TableNameContext,5,23,2,2,1,7,3,4,1,4
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ForeignKeyActionContext,29,0,4,0,8,0,7,0,5,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.NumericLiteralContext,32,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.PlpgsqlBlockContext,38,0,4,0,10,0,9,0,7,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.TriggerEventContext,32,0,4,0,9,0,8,0,6,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.AlterActionContext,98,0,4,0,21,0,20,0,18,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.IndexOptionsClauseContext,28,0,4,0,8,0,7,0,5,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.DeleteStatementContext,40,0,4,0,10,0,9,0,7,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.LimitClauseContext,28,0,4,0,8,0,7,0,5,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.TriggerTimingContext,23,0,4,0,7,0,6,0,4,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.WhereClauseContext,29,0,4,0,8,0,7,0,5,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.ColumnNameContext,5,23,2,2,1,7,3,4,1,4
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.CreateViewStatementContext,44,0,4,0,11,0,10,0,8,0
SQLDomainGen,com.sqldomaingen.parser,PostgreSQLParser.PartitionClauseContext,45,0,4,0,11,0,10,0,8,0
SQLDomainGen,com.sqldomaingen.util,NamingConverter,65,88,10,6,19,24,9,6,3,4
SQLDomainGen,com.sqldomaingen.util,TypeMapper,20,267,3,3,5,55,4,2,1,2
SQLDomainGen,com.sqldomaingen.generator,EntityGenerator,118,532,22,39,19,118,22,23,0,13
SQLDomainGen,com.sqldomaingen.generator,RelationshipResolver,230,268,35,27,52,56,29,18,4,12
SQLDomainGen,com.sqldomaingen.shell,GeneratorCommands,108,101,7,9,33,25,7,7,1,5
